english,burmese
"▲/> = Not More than",ထက်မများရ
"▼/< = Not Less than",ထက်မနည်းရ
9%NS=9%Normal Saline,ဆားရည် (၉%)
abdomen,ဝမ်းဗိုက်
abdominal wall abscess,ဝမ်းဗိုက်နံရံပြည်တည်နာ
ablepsia,"မျက်မမြင်ခြင်း၊ အမြင်ကွယ်ခြင်း"
abrasion,ပွန်းပဲ့ရာ
abscess,ပြည်တည်နာ
AC = Before meal,အစာမစားမီ
ache,နာကျင်ကိုက်ခဲခြင်း
acidosis,သွေးအက်ဆစ်ဓာတ်များခြင်း
acute,ရုတ်တရက်ဖြစ်သော
acute abdomen pain,ရုတ်တရက်ဝမ်းဗိုက်နာကျင်ခြင်း
acute appendicitis,ရုတ်တရက်အူအတက်ရောင်ရမ်းနာ
acute cystitis,ရုတ်တရက်ဆီးအိမ်ရောင်ရမ်းနာ
acute pyelonephritis,ရုတ်တရက်ကျောက်ကပ်ရောင်ရမ်းနာ
acute renal failure,ရုတ်တရက်ကျောက်ကပ်အလုပ်မလုပ်တော့ခြင်း
adam's apple,လည်ချောင်းဂုတ် (?)
adolescent,ဆယ်ကျော်သက်
AIDS,"ကိုယ်ခံအားခုခံစွမ်းအင်ကျစေသည့်ရောဂါ၊ အေအိုင်ဒီအက်စ်ရောဂါ"
airway,လေလမ်းကြောင်း
alcoholism,အရက်စွဲခြင်း
allergy,"သွေးမတည့်ခြင်း၊ ဓာတ်မတည့်ခြင်း"
ambulance,လူနာတင်ကား
amputate,ခြေလက်တို့ဖြတ်ပစ်သည်
amputee,ခြေပြတ်လက်ပြတ်သောသူ
anaemia,သွေးအားနည်းရောဂါ
anaesthetic,မေ့ဆေး
anatomy,ခန္ဓာဗေဒ
anesthesiologist,မေ့ဆေး/ထုံဆေးဆရာဝန်
ankle,ခြေချင်းဝတ်
anorexia,ခံတွင်းပျက်ခြင်း
anoxia,အောက်ဆီဂျင်မဲ့ခြင်း
antenatal,ကလေးမမွေးမီ
anus,စအို
anxiety,စိုးရိမ်ပူပန်မှု
appendicitis,အူအတက်ရောင်ရမ်းနာ
appendix,အူအတက်
arm bone,လက်မောင်းရိုး
armpit,ချိုင်းကြား
arteriosclerosis,သွေးကြောတွင်အဆီများပိတ်ဆို့နေခြင်း
artery,သွေးလွှတ်ကြော
arthritis,အရိုးဆက်ရောင်ရမ်းနာ
ascites,ဝမ်းရေ
asphyxia,"မွန်းခြင်း၊ အသက်မွန်ခြင်း"
asthma,ပန်းနာရင်ကြပ်
baby,နို့စို့ကလေး
back bone,ကျောရိုး
backache,ကျောနာ ခါးနာ
bacteria,ပက်တီးရီးယား
balm,ပရုတ်ဆီ
bandage,ပတ်တီး
belch,ရေချၚ်းတက်ခြင်း
bile,သည်းခြေ
bladder,ဆီးအိမ်
bleed,သွေးထွက်သည်
blind,ကန်းသော
blink,မျက်တောင်ခတ်သည်
blister,ရေကြည်ဖု
blood,သွေး
blood clot,သွေးခဲခြင်း
blood group,သွေးအုပ်စု
blood pressure (BP),သွေးဖိအား
blood transfusion,သွေးသွင်းကုသခြင်း
blood vessel,သွေးကြော
bone,အရိုး
brain,ဦးနှောက်
breast,နို့အုံ
breath,ထွက်သက်ဝင်သက်
breathe,အသက်ရှူခြင်း
bronchitis,လေပြွန်များရောင်ရမ်းခြင်း
bruise,သွေးခြေဥခြင်း
buttock,တင်ပါးဆုံ
calcium,"ကယ်လစီယမ်၊ ထုံးဓာတ်"
calf,ခြေသလုံး
cancer,"ကင်ဆာရောဂါ၊ ကာဆီးနိုးမား"
capsule (Cap),ဆေးတောင့်
car sickness,"ကားတောက်ခြင်း၊ ကားမူးခြင်း"
cardiovascular disease,နှလုံးသွေးကြောဆိုင်ရာရောဂါ
cast,ကျောက်ပတ်တီးစည်းခြင်း
cell,ဆဲလ်
cerebral haemorrhage,ဦးနှောက်ရှိသွေးကြောသွေးထွက်လာခြင်း
cerebral malaria,ဦးနှောက်ထဲသို့ငှက်ဖျားပိုးဝင်ခြင်း
cheek,ပါး
chest,ရင်ဘတ်
chest pain,ရင်ဘတ်တွင်နာကျင်ခြင်း
chew,ဝါးသည်
chicken pox,ရေကျောက်
chills,"ချမ်းစိမ့်ခြင်း၊ ဖျားတုန်ခြင်း"
chin,မေးစေ့
choke,ဆို့နင့်သည်
cholera,ကာလဝမ်းရောဂါ
chronic,နာတာရှည်
circulation,သွေးလှည့်ပတ်ခြင်း
clavicle,လက်ကတုံးရိုး
clinic,ဆေးပေးခန်း
cold,အအေးမိခြင်း
colon,အူမကြီး
coma,မေ့မြောခြင်း
common cold,အအေးမိခြင်း
complete rest,ကောင်းမွန်ပြည့်ဝစွာအနားယူခြင်း
complications,နောက်ဆက်တွဲဆိုးကျိုးများ
constipation,ဝမ်းချုပ်ခြင်း
contaminated,ရောဂါပိုးကူးစက်ခြင်း
corpse,လူသေအလောင်း
cough,ချောင်းဆိုးခြင်း
cramp,ကြွက်တက်ခြင်း
cremate,မီးသဂြိုဟ်ခြင်း
D/5/W = 5% Dextrose water,သကြားရည် ၅%
daily wound dressing,နေ့စဉ်အနာဆေးထည့်ခြင်း
dandruff,ဗောက်ထခြင်း
deaf,နားပင်းခြင်း
deficiency,မလုံလောက်ခြင်း
dehydration,အရည်ခမ်းခြောက်ခြင်း
dengue fever,သွေးလွန်တုပ်ကွေး
depression,စိတ်ဓာတ်ကျခြင်း
diabetes,ဆီးချိုရောဂါ
diagnosis,ရောဂါအမည်ဖော်ခြင်း
diarrhoea,"ဝမ်းသက်ခြင်း၊ ဝမ်းလျှောခြင်း"
digestion,အစာချေခြင်း
diphtheria,ဆုံဆို့နာ
disease,ရောဂါ
disinfect,ပိုးသတ်ခြင်း
dizzy,ခေါင်းမူးခြင်း
doctor,ဆရာဝန်
dose,ဆေးချိန်
drip,ဝက်ဆားရည်ပေးခြင်း
drown,ရေနစ်သေ
drowsiness,အိပ်ငိုက်ခြင်း
dumb,ဆွံ့အသော
dwarf,လူပု
dysentery,ဝမ်းကိုက်ရောဂါ
dyspnea,အသက်ရှူကျပ်ခြင်း
dysuria,ဆီးသွားနာခြင်း
ear,နား
ear canal,နားအတွင်း
ear drum,နားစည်
ear lobe,နားရွက်
earache,နားတွင်းနာ
earwax,နားဖာချေး
eczema,နှင်းခူ
edema,ဖောရောင်ခြင်း
elbow,တံတောင်ဆစ်
elephantiasis,ဆင်ခြေထောက်ရောဂါ
emergency,အရေးပေါ်
emotion,စိတ်လှုပ်ရှားမှု
enema,ဝမ်းချုပ်ဆေးရည်
epidemic,ကပ်ရောဂါ
epilepsy,"ဝက်ရူးနာ၊ ဝက်ရူးပြန်ရောဂါ"
epistaxis,နှာခေါင်းသွေးယိုခြင်း
examination,စမ်းသပ်ခြင်း
eye,မျက်စိ
eyebrow,မျက်ခုံးမွေး
eyelashes,မျက်တောင်
eyelid,မျက်ခွံ
face,မျက်နှာ
faeces,မစင်
fahrenheit,ဖာရင်ဟိုက်
faint,မေ့မျောခြင်း
fat,အဆီ
female,"အမ၊ မိန်းမ"
femur,ပေါင်ရိုး
fever,"ဖျားခြင်း၊ အဖျားတက်ခြင်း"
finger,လက်ချောင်း
finger-nail,လက်သည်း
first aid,ရှေးဦးသူနာပြုစုခြင်း
fist,လက်သီး
fit,တက်ခြင်း
food poisoning,အစာအဆိပ်တက်ခြင်း
foot,ခြေ
forceps,ညှပ်
forehead,နဖူး
fracture,"အရိုးကျိုးခြင်း၊ အရိုးအက်ခြင်း"
gall bladder,သည်းခြေအိတ်
gall stone,သည်းခြေအိတ်ထဲရှိကျောက်ခဲ
gangrene,ပုပ်နာ
gargle,ပါးလှုတ်ကျင်းခြင်း
gas,ဝမ်းပွခြင်း
Gastric Ulcer (GU),အစာအိမ်အနာ
gauze,ပိတ်ဇာ
gender,ကျား/မ
genetic,မျိုးရိုးလိုက်
germ,ရောဂါပိုး
gland,"ဂလင်း၊ အကျိတ်"
glucose,ဂလူးကို့စ်
goiter,လည်ပင်းကြီးရောဂါ
gout,ဂေါက်နာရောဂါ
gram,ဂရမ်
groin,ပေါင်ခြံ
gums,သွားဖုံး
haematemesis,သွေးအန်ခြင်း
haemoglobin,ဟီမိုဂလိုဗင်
haemoptysis,ချောင်းဆိုးသွေးပါခြင်း
haemorrhage,သွေးသွန်ခြင်း
haemorrhoids,လိပ်ခေါင်း
hair,ဆံပင်
hand,လက်
head,ဦးခေါင်း
head lice,ဦးခေါင်းသန်း
headache,ခေါင်းကိုက်
heal,ကုသ
health,ကျန်းမာရေး
hearing,ကြားခြင်း
heart,နှလုံး
heart beat,နှလုံးခုန်
heel,ခြေဖနောင့်
hepatitis,အသည်းရောင်ရောဂါ
hepatitis B,အသည်းရောင်အသားဝါရောဂါ (B)
hernia,အူကျိုးနာ
herpes,ရေယုန်
hiccup,ကြို့ထိုးခြင်း
hip,တင်ပါး
hip bone,တင်ပါးရိုး
hook worm,ချိတ်သန်ကောင်
hospital,ဆေးရုံ
human immunodeficiency virus (HIV),လူ့ကိုယ်ခံအားကျဆင်းစေသည့်ဗိုင်းရပ်စ်ပိုး
hypertension,သွေးတိုးရောဂါ
hypoglycemia,သွေးတွင်းအချိုဓာတ်လျော့နည်းခြင်း
hypothermia,ကိုယ်ပူချိန်လျော့ခြင်း
ileum,အူသိမ်အောက်ပိုင်း (?)
IM = Intra muscular injection,ကြွက်သားတွင်းဆေးထိုးခြင်း
immunisation,ကာကွယ်ဆေးထိုးခြင်း
immunity,ကိုယ်ခံစွမ်းအား
incisor tooth,ရှေ့သွား
indigestion,အစာမကြေခြင်း
infant,တစ်နှစ်အောက်ကလေး
infection,ကူးစက်ခြင်း
infectious,ကူးစက်တတ်သော
inflammation,ရောင်ရမ်းခြင်း
inhaling,"ရှူသွင်းခြင်း၊ အသက်ရှူသွင်းခြင်း"
injection (INJ),"ထိုးဆေး၊ ဆေးထိုးသွင်းခြင်း"
insane,ရူးသွပ်သော
intelligence,ဉာဏ်ရည်ဉာဏ်သွေး
intestine,အူ
Intra-Venous injection (IV),သွေးကြောတွင်းဆေးထိုးခြင်း
iodine,အိုင်အိုဒင်း
iris,မျက်နက်ဝန်း
iron,သံဓာတ်
itch,ယားယံသည်
jaundice,အသားဝါရောဂါ
jaw,မေးရိုး
joint,"အဆက်၊ အဆစ်"
kidney,ကျောက်ကပ်
kilogram,ကီလိုဂရမ်
knee,ဒူးဆစ်
knuckle,လက်ဆစ်များ
laboratory,ဓာတ်ခွဲစမ်းသပ်ခန်း
larynx,အသံအိုး
latrine,အိမ်သာ
lead poisoning,ခဲဆိပ်ဖြစ်ခြင်း
leg,ခြေထောက်
lens,မှန်ဘီလူး
leprosy,"အနာကြီးရောဂါ၊ နူနာရောဂါ"
lethargic,"အိပ်ငိုက်ခြင်း၊ ငိုက်မျဉ်းခြင်း"
lip,နှုတ်ခမ်း
liquid,အရည်
litre,လီတာ
liver,အသည်း
lung,အဆုတ်
lung abscess,အဆုတ်ပြည်တည်နာ
lung infection,အဆုတ်အတွင်းပိုးဝင်ခြင်း
malaria,ငှက်ဖျားရောဂါ
male,ယောက်ျား
malnutrition,အာဟာရချို့တဲ့ခြင်း
mask,မျက်နှာဖုံး
massage,နှိပ်နယ်ခြင်း
mastitis,"နို့အုံနာ၊ နို့ရောင်နာ"
measles,ဝက်သက်ရောဂါ
medicine,ဆေးဝါး
meningitis,ဦးနှောက်မြေးရောင်ရောဂါ
microscope,"မိုက်ခရိုစကုပ်၊ အဏုကြည့်ကိရိယာ"
migraine,ခေါင်းတခြမ်းကိုက်ရောဂါ
milligram,မီလီဂရမ်
milliliter,မီလီလီတာ
molar tooth,အံသွား
mole,မှဲ့
mortality,သေဆုံးမှုနှုန်း
mosquito,ခြင်
mosquito net,ခြင်ထောင်
mouth,ပါးစပ်
nausea,မူးဝေအော့အန်ခြင်း
navel,ချက်
neck,လည်ပင်း
nerve,အာရုံကြော
night blindness,ကြက်မျက်သင့်ရောဂါ
nipple,နို့သီး
nose,နှာခေါင်း
nostril,နှာခေါင်းပေါက်
nurse,သူနာပြု
nutrient,အစာအာဟာရ
obese,ဝလွန်းသော
oedema,"ဖောခြင်း၊ ဖောရောင်ခြင်း"
oesophagus,အစာပြွန်
ointment,အဆီပါသောလိမ်းဆေး
oliguria,ဆီးနည်းခြင်း
operation,ခွဲစိပ်ကုသခြင်း
optician,မျက်မှန်လုပ်ရောင်းသူ
orbit,မျက်တွင်း
organ,အင်္ဂါ
overdose,ဆေးပမာဏပိုခြင်း
oxygen,အောက်ဆီဂျင်
pain,နာကျင်ခြင်း
palm,လက်ဖဝါး
palpitation,နှလုံးတုန်ခြင်း
palsy,အကြောသေ
pancreas,ပန်ကရိယ
paralysis,လေဖြတ်သည်
patella,ခုံးညင်းရိုး
patient,လူနာ
PC = After meal,အစားအစာစားပြီး
peritoneum,ဝမ်းတွင်းမြေး
perspiration,ချွေး
pharmacy,ဆေးဆိုင်
phlegm,သလိပ်
pimple,ဝက်ခြံ
plaster cast,ကျောက်ပတ်တီး
pleura,အဆုတ်အမြေးပါး
pneumonia,"နျူမိုးနီးယား၊ အဆုတ်ရောင်ရမ်းနာရောဂါ"
poison,အဆိပ်
polio,အကြောသေရောဂါ
positive (result),အမှန်ဖြစ်ခြင်းအဖြေ
powder,ဆေးမှုန့်
prescription,ဆေးညွှန်း
prevention,တားဆီးကာကွယ်ခြင်း
prosthesis,ကိုယ်အင်္ဂါတု
public health,လူထုကျန်းမာရေး
pulse,သွေးခုန်ချက်
pupil,မျက်စိသူငယ်အိမ်
pus,အနာပြည်
QID = Quarter in day,တစ်နေ့လေးကြိမ်
rabies,ခွေးရူးပြန်ရောဂါ
rash,အဖုအပိန့်တက်ခြင်း
rate,နှုန်း
record,မှတ်တမ်း
rectum,စအို
relapse,"ရောဂါပြန်ပေါ်ခြင်း၊ ရောဂါပြန်ထခြင်း"
renal,ကျောက်ကပ်နှင့်ဆိုင်သော
respiration,အသက်ရှူခြင်း
respiratory distress,အသက်ရှူခက်ခဲခြင်း
retina,မျက်လွှာ
rheumatoid arthritis,အရိုးအဆစ်ရောင်ရမ်းခြင်း
rib,နံရိုး
ringworm,ပွေး
roundworm,သန်ကောင်လုံး
saline,ဆားပျော်ရည်
saliva,တံတွေး
salt,ဆား
scab,အနာဖေး
scabies,"ဝဲနာ၊ ဝဲခြောက်"
scar,အမာရွတ်
scratch,ကုတ်
senile,သူငယ်ပြန်သော
septicaemia,သွေးအဆိပ်တက်ခြင်း
serum,သွေးရည်ကြည်
shin,ခြေကျင်းရိုး
shiver,တုန်သည်
shock,သွေးလန့်ခြင်း
sibling,ညီအစ်ကိုမောင်နှမ
side-effect,ဆေး၏မကောင်းသောအကျိုးသက်ရောက်မှု
sign,ရောဂါလက္ခဏာ
single dose,တစ်ခါသောက်ဆေး
sinusitis,နှာနားရှိလိုက်ခေါင်းရောင်ရမ်းခြင်း
skeleton,အရိုးစု
skin,အရေပြား
skull,"ဦးခေါင်းရိုး၊ ဦးခေါင်းခွံ"
sling,လည်သိုင်း
sneeze,နှာချေသည်
sodium,ဆိုဒီယမ်
sole,ခြေဖဝါး
solid,အစိုင်အခဲ
spine,ကျောရိုး
spleen,သရက်ရွက်
splint,ကျစ်စည်းကိရိယာ
sprain,အဆစ်လွဲခြင်း
sputum,ချွဲသလိပ်
squint,မျက်စိစွေခြင်း
stat,ချက်ချင်း
sterile gloves,ပိုးသတ်ထားသောလက်အိတ်
sternum,ရင်ညွှန့်ရိုး
stethoscope,နားကြပ်
stiff neck,လည်ပင်းတောင့်တင်းသည်
stomach,အစာအိမ်
stomach ulcer,အစာအိမ်အနာ
stretcher,လူနာထမ်းစင်
stutter,စကားပြောထစ်ငေါ့သည်
sunburn,နေလောင်ခြင်း
surgeon,ခွဲစိတ်ကုသဆရာဝန်
surgery,ခွဲစိတ်ကုသခြင်း
suture,ချုပ်ချက်
swallow,မျိုချသည်
sweat,ချွေး
swelling,ဖူးရောင်ခြင်း
symptom,ရောဂါလက္ခဏာစု
syringe,"ဆေးထိုးပြွန်၊ ဆေးထိုးအပ်"
tablet (Tab),ဆေးပြား
tachycardia,နှလုံးခုန်မြန်ခြင်း
tapeworm,တုတ်ကောင်
tears,မျက်ရည်
teeth,သွား
temple,နားထင်
tendon,ကြွက်စွန်းကြော
test,စစ်ဆေးခြင်း
tetanus,မေးခိုင်ရောဂါ
thermometer,"သာမိုမီတာ၊ အပူချိန်တိုင်းကိရိယာ"
thigh,ပေါင်
thigh bone,ပေါင်ရိုး
throat,လည်ချောင်း
thumb,လက်မ
thyroid,သိုင်းရွိုက်ဂလင်း
tissue,တစ်ရှူးများ
toe,ခြေမ
toe-nail,ခြေသည်း
tongue,လျှာ
tonsil,"ပါးသို၊ အာသီး"
tonsillitis,အာသီးနာ
tourniquet,"ကျပ်စည်းကြိုး၊ သွေးထိန်းကြိုး"
toxic,အဆိပ်အတောက်ရှိသော
trachea,လေပြွန်
tracheitis,လေပြွန်ရောင်ရမ်းခြင်း
transmission,ကူးစက်ပျံ့ပွားခြင်း
treatment,"ကုထုံး၊ ကုနည်း"
tuberculosis,တီဘီရောဂါ
tummy (stomach),အစာအိမ်
tumors,အကျိတ်အနာ
typhoid,တိုက်ဖွိုက်ရောဂါ
ulceration,အခွက်ပေါက်ခြင်း
umbilicus,ချက်
unconscious,သတိမေ့ခြင်း
urethra,ဆီးချောင်း
urinary tract,ဆီးလမ်းကြောင်း
Urinary Tract Infection (UTI),ဆီးလမ်းကြောင်းကူးစက်ရောဂါ
urine,ဆီး
vaccine,ကာကွယ်ဆေး
vegetarian,သက်သတ်လွတ်စားသူ
vein,သွေးပြန်ကြော
virus,ဗိုင်းရပ်စ်ရောဂါပိုး
vitamin,ဗီတာမင်
volume,ပမာဏ
vomit,အန်သည်
waist,ခါး
wart,ကြွက်နို့
wean,ကလေးနို့ဖြတ်သည်
whooping cough,ကြက်ညှာချောင်းဆိုးရောဂါ
wind pipe,လေပြွန်
World Health Organization (WHO),ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့
worms,သန်ကောင်
wound,ဒဏ်ရာ
wrist,လက်ကောက်ဝတ်
X-Rays,ဓာတ်မှန်
yawn,သမ်းသည်
