english,tamil,category
Abdominal,வயிறு,medical
Accident,விபத்து,medical
Abuse,துஷ்பிரயோகம்,medical
Addict,அடிமை,medical
Agony,வேதனை,medical
Ailment,நோய்,medical
Alcohol,மது,medical
Amputation,துண்டித்தல்,medical
Anaesthetic,மயக்க மருந்து,medical
Bandage,கட்டு,medical
Bleed,இரத்தப்போக்கு,medical
Blind,குருடர்,medical
Clinical,மருத்துவம்,medical
Contusion,நசுங்கிய காயம்,medical
Convalesce,குணமடை,medical
Convulsion,வலிப்பு,medical
Cough,இருமல்,medical
Cramp,தசைப்பிடிப்பு,medical
Crutch,ஊன்றுகோல்,medical
Cure,குணப்படுத்து,medical
Debility,பலவீனம்,medical
Defecate,மலம் கழிக்க,medical
Delirious,பிதற்றல்,medical
Dentist,பல் மருத்துவர்,medical
Depression,மன அழுத்தம்,medical
Diabetes,சர்க்கரை நோய்,medical
Disease,நோய்,medical
Doctor,மருத்துவர்,medical
Febrile,காய்ச்சல் சார்ந்த,medical
Fever,காய்ச்சல்,medical
Fracture,எலும்பு முறிவு,medical
Gargle,வாய் கொப்பளிக்க,medical
Gash,ஆழமான வெட்டுக்காயம்,medical
Lesion,புண்,medical
Ligament,தசைநார்,medical
Measles,தட்டம்மை,medical
Medical,மருத்துவ,medical
Mental,மன,medical
Nurse,செவிலியர்,medical
Pain,வலி,medical
Palpate,தடவிப் பரிசோதி,medical
Panting,மூச்சிரைத்தல்,medical
Paralyse,முடக்கு,medical
Patient,நோயாளி,medical
Protein,புரதம்,medical
Poultice,பற்று மருந்து,medical
Relax,ஓய்வெடு,medical
Relief,துயர் நீக்கம்,medical
Spine,முதுகெலும்பு,medical
Shiver,நடுக்கம்,medical
Shock,அதிர்ச்சி,medical
Sneeze,தும்மல்,medical
Suicide,தற்கொலை,medical
Swelling,வீக்கம்,medical
Tablet,மாத்திரை,medical
Temperature,வெப்ப நிலை,medical
Abuse,துஷ்பிரயோகம்,everyday
Accept,ஏற்றுக்கொள்,everyday
Access,அணுகல்,everyday
Accuse,குற்றம் சாட்டு,everyday
Achieve,அடைய,everyday
Acknowledge,ஒப்புக்கொள்,everyday
Acquire,பெறு,everyday
Act,செயல்படு,everyday
Adapt,ஏற்ப,everyday
Add,கூட்டு,everyday
Adjust,சரிசெய்,everyday
Admire,ரசி,everyday
Admit,ஒப்புக்கொள்,everyday
Adopt,தத்தெடு,everyday
Adore,வணங்கு,everyday
Advance,முன்னேறு,everyday
Affect,பாதி,everyday
Afford,வாங்கும் வசதி,everyday
Agree,ஒப்புக்கொள்,everyday
Allow,அனுமதி,everyday
Amaze,பிரமிக்க வை,everyday
Announce,அறிவி,everyday
Answer,பதில்,everyday
Anticipate,எதிர்பார்,everyday
Apologize,மன்னிப்பு கேள்,everyday
Appeal,மேல்முறையீடு,everyday
Appear,தோன்று,everyday
Apply,விண்ணப்பி,everyday
Appreciate,பாராட்டு,everyday
Approach,அணுகு,everyday
Approve,ஒப்புதல் அளி,everyday
Are,உள்ளன,everyday
Argue,வாதிடு,everyday
Arise,எழு,everyday
Arrange,ஏற்பாடு செய்,everyday
Arrive,வந்து சேர்,everyday
Ask,கேள்,everyday
Assist,உதவு,everyday
Associate,கூட்டாளி,everyday
Assume,கருது,everyday
Assure,உறுதியளி,everyday
Attach,இணை,everyday
Attack,தாக்கு,everyday
Attempt,முயற்சி,everyday
Attend,கலந்துகொள்,everyday
Attract,ஈர்,everyday
Avoid,தவிர்,everyday
Bake,சுடு,everyday
Balance,சமநிலை,everyday
Battle,போர்,everyday
Bear,தாங்கு,everyday
Beat,அடி,everyday
Become,ஆகு,everyday
Begin,தொடங்கு,everyday
Behave,நடந்துகொள்,everyday
Believe,நம்பு,everyday
Belong,சேர்ந்தது,everyday
Bend,வளை,everyday
Bet,பந்தயம்,everyday
Bid,ஏலம் கூறு,everyday
Blame,பழி,everyday
Block,தடு,everyday
Blow,ஊது,everyday
Born,பிறந்த,everyday
Borrow,கடன் வாங்கு,everyday
Bother,தொந்தரவு,everyday
Break,உடை,everyday
Bring,கொண்டு வா,everyday
Brush,தூரிகை,everyday
Build,கட்டு,everyday
Burn,எரி,everyday
Burst,வெடி,everyday
Buy,வாங்கு,everyday
Calculate,கணக்கிடு,everyday
Call,அழை,everyday
Camp,முகாம்,everyday
Cancel,ரத்து செய்,everyday
Care,பராமரிப்பு,everyday
Carry,சுமந்து செல்,everyday
Catch,பிடி,everyday
Cause,காரணம்,everyday
Celebrate,கொண்டாடு,everyday
Change,மாற்று,everyday
Check,சரிபார்,everyday
Choose,தேர்ந்தெடு,everyday
Claim,கூற்று,everyday
Clean,சுத்தம் செய்,everyday
Clear,தெளிவானது,everyday
Click,கிளிக் செய்,everyday
Close,மூடு,everyday
Collect,சேகரி,everyday
Combine,இணை,everyday
Come,வா,everyday
Command,கட்டளை,everyday
Comment,கருத்து,everyday
Commit,உறுதிபூண்,everyday
Communicate,தொடர்புகொள்,everyday
Compare,ஒப்பிடு,everyday
Compete,போட்டியிடு,everyday
Complain,புகார்,everyday
Complete,முழுமை,everyday
Concentrate,கவனம் செலுத்து,everyday
Concern,அக்கறை,everyday
Confirm,உறுதிப்படுத்து,everyday
Conflict,மோதல்,everyday
Connect,இணை,everyday
Consider,கருது,everyday
Consist,கொண்டிரு,everyday
Consult,ஆலோசி,everyday
Contact,தொடர்பு,everyday
Contain,கொண்டிரு,everyday
Content,உள்ளடக்கம்,everyday
Contest,போட்டி,everyday
Continue,தொடர்,everyday
Contribute,பங்களி,everyday
Convert,மாற்று,everyday
Convince,சம்மதிக்க வை,everyday
Cook,சமை,everyday
Copy,நகல்,everyday
Correct,சரி,everyday
Cost,செலவு,everyday
Could,முடியும்,everyday
Count,எண்ணு,everyday
Couple,ஜோடி,everyday
Cover,மூடு,everyday
Crack,விரிசல்,everyday
Craft,கைவினை,everyday
Crash,விபத்து,everyday
Create,உருவாக்கு,everyday
Credit,கடன்,everyday
Crew,குழுவினர்,everyday
Criticize,விமர்சி,everyday
Cross,கடந்து செல்,everyday
Cry,அழு,everyday
Curve,வளைவு,everyday
Cut,வெட்டு,everyday
Cycle,மிதிவண்டி,everyday
Damage,சேதம்,everyday
Dance,நடனம்,everyday
Dare,துணி,everyday
Date,தேதி,everyday
Deal,ஒப்பந்தம்,everyday
Debate,விவாதம்,everyday
Decide,முடிவு செய்,everyday
Delay,தாமதம்,everyday
Deliver,வழங்கு,everyday
Demand,கோரிக்கை,everyday
Deny,மறு,everyday
Depend,சார்ந்திரு,everyday
Describe,விவரி,everyday
Deserve,தகுதியுடையது,everyday
Design,வடிவமைப்பு,everyday
Desire,ஆசை,everyday
Destroy,அழி,everyday
Determine,தீர்மானி,everyday
Develop,உருவாக்கு,everyday
Die,இற,everyday
Differ,வேறுபடு,everyday
Dig,தோண்டு,everyday
Disagree,கருத்து வேறுபடு,everyday
Disappear,மறைந்துவிடு,everyday
Disappoint,ஏமாற்று,everyday
Discipline,ஒழுக்கம்,everyday
Discount,தள்ளுபடி,everyday
Discover,கண்டுபிடி,everyday
Discuss,விவாதி,everyday
Display,காட்சி,everyday
Distance,தூரம்,everyday
Distribute,விநியோகி,everyday
Divide,பிரி,everyday
Do,செய்,everyday
Does,செய்யும்,everyday
Doubt,சந்தேகம்,everyday
Draft,வரைவு,everyday
Drag,இழு,everyday
Draw,வரை,everyday
Dream,கனவு,everyday
Dress,ஆடை,everyday
Drink,பானம்,everyday
Drive,ஓட்டு,everyday
Drop,விடு,everyday
Dry,உலர்,everyday
Earn,சம்பாதி,everyday
Ease,எளிதாக்கு,everyday
Eat,சாப்பிடு,everyday
Effect,விளைவு,everyday
Emphasize,வலியுறுத்து,everyday
Employ,வேலைக்கு அமர்த்து,everyday
Encourage,ஊக்குவி,everyday
End,முடிவு,everyday
Engage,ஈடுபடு,everyday
Enhance,மேம்படுத்து,everyday
Enjoy,அனுபவி,everyday
Ensure,உறுதிசெய்,everyday
Enter,நுழை,everyday
Escape,தப்பி,everyday
Essay,கட்டுரை,everyday
Establish,நிறுவு,everyday
Estimate,மதிப்பீடு,everyday
Examine,பரிசோதி,everyday
Exchange,பரிமாற்றம்,everyday
Excuse,சாக்குப்போக்கு,everyday
Exercise,உடற்பயிற்சி,everyday
Exist,இரு,everyday
Expand,விரிவடை,everyday
Expect,எதிர்பார்,everyday
Experience,அனுபவம்,everyday
Explain,விளக்கு,everyday
Explore,ஆராய்,everyday
Expose,அம்பலப்படுத்து,everyday
Express,வெளிப்படுத்து,everyday
Extend,நீட்டி,everyday
Face,முகம்,everyday
Fail,தோல்வி,everyday
Fall,வீழ்ச்சி,everyday
Fear,பயம்,everyday
Feed,ஊட்டு,everyday
Feel,உணர்,everyday
Fight,சண்டை,everyday
Fill,நிரப்பு,everyday
Find,கண்டுபிடி,everyday
Finish,முடி,everyday
Firm,நிறுவனம்,everyday
Fit,பொருத்தம்,everyday
Fix,சரிசெய்,everyday
Flow,ஓட்டம்,everyday
Fly,பற,everyday
Focus,கவனம்,everyday
Fold,மடி,everyday
Follow,பின்பற்று,everyday
Foot,கால்,everyday
Force,கட்டாயப்படுத்து,everyday
Forget,மற,everyday
Forgive,மன்னி,everyday
Form,வடிவம்,everyday
Frame,சட்டகம்,everyday
Freeze,உறை,everyday
Fry,வறு,everyday
Gain,ஆதாயம்,everyday
Gather,சேகரி,everyday
Generate,உருவாக்கு,everyday
Get,பெறு,everyday
Give,கொடு,everyday
Go,போ,everyday
Grow,வளர்,everyday
Guarantee,உத்தரவாதம்,everyday
Guard,காவலர்,everyday
Guess,யூகி,everyday
Guide,வழிகாட்டு,everyday
Handle,கையாள்,everyday
Hang,தொங்கு,everyday
Happen,நடக்கும்,everyday
Harm,தீங்கு,everyday
Has,உள்ளது,everyday
Hate,வெறு,everyday
Have,வைத்திரு,everyday
Hear,கேள்,everyday
Heat,வெப்பம்,everyday
Help,உதவி,everyday
Hesitate,தயங்கு,everyday
Hide,மறை,everyday
Highlight,முன்னிலைப்படுத்து,everyday
Hire,வாடகைக்கு அமர்த்து,everyday
Hit,தாக்கு,everyday
Hold,பிடி,everyday
Hope,நம்பிக்கை,everyday
Host,தொகுப்பாளர்,everyday
Hunt,வேட்டையாடு,everyday
Hurry,அவசரம்,everyday
Hurt,காயப்படுத்து,everyday
Identify,அடையாளம் காண்,everyday
Ignore,புறக்கணி,everyday
Illustrate,விளக்கு,everyday
Imagine,கற்பனை செய்,everyday
Impact,தாக்கம்,everyday
Implement,செயல்படுத்து,everyday
Imply,குறிப்பால் உணர்த்து,everyday
Impress,ஈர்,everyday
Improve,மேம்படுத்து,everyday
Include,சேர்,everyday
Incorporate,இணைத்துக்கொள்,everyday
Increase,அதிகரி,everyday
Indicate,குறிப்பிடு,everyday
Inform,தெரிவி,everyday
Insist,வலியுறுத்து,everyday
Install,நிறுவு,everyday
Intend,உத்தேசி,everyday
Interest,ஆர்வம்,everyday
Interview,நேர்காணல்,everyday
Introduce,அறிமுகப்படுத்து,everyday
Invest,முதலீடு செய்,everyday
Investigate,விசாரி,everyday
Invite,அழை,everyday
Involve,ஈடுபடுத்து,everyday
Iron,இரும்பு,everyday
Jog,மெதுவாக ஓடு,everyday
Join,சேர்,everyday
Joke,நகைச்சுவை,everyday
Judge,நீதிபதி,everyday
Jump,குதி,everyday
Justify,நியாயப்படுத்து,everyday
Keep,வை,everyday
Kick,உதை,everyday
Kill,கொல்,everyday
Kiss,முத்தம்,everyday
Knit,பின்னு,everyday
Know,தெரிந்திரு,everyday
Lack,பற்றாக்குறை,everyday
Land,நிலம்,everyday
Last,கடைசி,everyday
Laugh,சிரி,everyday
Lay,கிடத்து,everyday
Layer,அடுக்கு,everyday
Lead,வழிநடத்து,everyday
Learn,கற்றுக்கொள்,everyday
Leave,விடு,everyday
Lend,கடன் கொடு,everyday
Let,அனுமதி,everyday
Lie,பொய்,everyday
Lift,தூக்கு,everyday
Light,ஒளி,everyday
Like,விரும்பு,everyday
Limit,வரம்பு,everyday
Line,வரி,everyday
Lip,உதடு,everyday
List,பட்டியல்,everyday
Listen,கேள்,everyday
Live,வாழ்,everyday
Load,சுமை,everyday
Lock,பூட்டு,everyday
Log,பதிவு,everyday
Look,பார்,everyday
Loose,தளர்வான,everyday
Lose,இழ,everyday
Lost,இழந்த,everyday
Love,அன்பு,everyday
Mail,அஞ்சல்,everyday
Maintain,பராமரி,everyday
Make,செய்,everyday
Manage,நிர்வகி,everyday
Mark,குறி,everyday
Marry,திருமணம் செய்,everyday
Match,பொருத்து,everyday
Matter,விஷயம்,everyday
Mean,அர்த்தம்,everyday
Measure,அளவிடு,everyday
Meet,சந்தி,everyday
Mention,குறிப்பிடு,everyday
Mind,மனம்,everyday
Miss,தவறவிடு,everyday
Mistake,தவறு,everyday
Mix,கலக்கு,everyday
Move,நகர்,everyday
Must,வேண்டும்,everyday
Need,தேவை,everyday
Neglect,புறக்கணி,everyday
Negotiate,பேரம் பேசு,everyday
Nerve,நரம்பு,everyday
Note,குறிப்பு,everyday
Notice,கவனி,everyday
Number,எண்,everyday
Obtain,பெறு,everyday
Occur,ஏற்படு,everyday
Offer,வழங்கு,everyday
Open,திற,everyday
Operate,இயக்கு,everyday
Order,உத்தரவு,everyday
Organize,ஏற்பாடு செய்,everyday
Ought,வேண்டும்,everyday
Overcome,கடந்து வெல்,everyday
Overtake,முந்து,everyday
Owe,கடன்பட்டிரு,everyday
Own,சொந்தம்,everyday
Pack,மூட்டை கட்டு,everyday
Paint,வண்ணம் தீட்டு,everyday
Park,பூங்கா,everyday
Participate,பங்கேற்,everyday
Pass,கடந்து செல்,everyday
Pattern,முறை,everyday
Pause,இடைநிறுத்தம்,everyday
Pay,செலுத்து,everyday
Perfect,சரியான,everyday
Perform,நிகழ்த்து,everyday
Permit,அனுமதி,everyday
Persuade,வற்புறுத்து,everyday
Pick,எடு,everyday
Pin,முள்,everyday
Pitch,சுருதி,everyday
Place,இடம்,everyday
Plan,திட்டம்,everyday
Plant,நடு,everyday
Plate,தட்டு,everyday
Play,விளையாடு,everyday
Please,தயவு செய்து,everyday
Pop,வெடி,everyday
Possess,உடையவனாயிரு,everyday
Post,அஞ்சல்,everyday
Pot,பானை,everyday
Pound,பவுண்டு,everyday
Pour,ஊற்று,everyday
Practice,பயிற்சி,everyday
Pray,பிரார்த்தி,everyday
Prefer,விரும்பு,everyday
Prepare,தயார் செய்,everyday
Press,அழுத்து,everyday
Pretend,பாசாங்கு செய்,everyday
Prevent,தடு,everyday
Pride,பெருமை,everyday
Print,அச்சிடு,everyday
Process,செயல்முறை,everyday
Produce,உற்பத்தி செய்,everyday
Promise,வாக்குறுதி,everyday
Prompt,உடனடி,everyday
Propose,முன்மொழி,everyday
Protect,பாதுகா,everyday
Prove,நிரூபி,everyday
Provide,வழங்கு,everyday
Pull,இழு,everyday
Punch,குத்து,everyday
Purchase,கொள்முதல்,everyday
Purpose,நோக்கம்,everyday
Pursue,தொடர்,everyday
Push,தள்ளு,everyday
Put,வை,everyday
Qualify,தகுதிபெறு,everyday
Quit,விட்டுவிடு,everyday
Quote,மேற்கோள்,everyday
Race,பந்தயம்,everyday
Rain,மழை,everyday
Raise,உயர்த்து,everyday
Range,வரம்பு,everyday
Rate,விகிதம்,everyday
Reach,அடை,everyday
React,எதிர்வினையாற்று,everyday
Read,படி,everyday
Realize,உணர்,everyday
Receive,பெறு,everyday
Recognize,அடையாளம் காண்,everyday
Recommend,பரிந்துரை,everyday
Record,பதிவு,everyday
Recover,மீள்,everyday
Reduce,குறை,everyday
Refer,பார்,everyday
Reflect,பிரதிபலி,everyday
Refuse,மறு,everyday
Register,பதிவு செய்,everyday
Regret,வருத்தம்,everyday
Relax,ஓய்வெடு,everyday
Release,விடுவி,everyday
Relieve,நிவாரணம் அளி,everyday
Rely,நம்பியிரு,everyday
Remain,இரு,everyday
Remember,நினைவில் கொள்,everyday
Remind,நினைவூட்டு,everyday
Remove,அகற்று,everyday
Rent,வாடகை,everyday
Repair,பழுது பார்,everyday
Repeat,மீண்டும் செய்,everyday
Replace,பதிலீடு செய்,everyday
Reply,பதில்,everyday
Report,அறிக்கை,everyday
Represent,பிரதிநிதித்துவப்படுத்து,everyday
Request,கோரிக்கை,everyday
Require,தேவைப்படு,everyday
Research,ஆராய்ச்சி,everyday
Reserve,முன்பதிவு செய்,everyday
Resist,எதிர்,everyday
Resolve,தீர்வு காண்,everyday
Resort,உல்லாசப்போக்கிடம்,everyday
Respect,மரியாதை,everyday
Respond,பதிலளி,everyday
Rest,ஓய்வு,everyday
Result,விளைவு,everyday
Retain,தக்கவைத்துக்கொள்,everyday
Retire,ஓய்வுபெறு,everyday
Return,திரும்பு,everyday
Reveal,வெளிப்படுத்து,everyday
Review,விமர்சனம்,everyday
Reward,வெகுமதி,everyday
Ride,சவாரி,everyday
Ring,மணியொலி,everyday
Rise,உயர்,everyday
Risk,ஆபத்து,everyday
Run,ஓடு,everyday
Rush,அவசரம்,everyday
Sail,படகோட்டு,everyday
Save,சேமி,everyday
Say,சொல்,everyday
Search,தேடு,everyday
Seat,இருக்கை,everyday
See,பார்,everyday
Seek,தேடு,everyday
Seem,தோன்று,everyday
Select,தேர்ந்தெடு,everyday
Sell,விற்,everyday
Send,அனுப்பு,everyday
Separate,தனி,everyday
Service,சேவை,everyday
Settle,தீர்வு காண்,everyday
Shake,குலுக்கு,everyday
Shall,வேண்டும்,everyday
Share,பகிர்,everyday
Shine,பிரகாசி,everyday
Ship,கப்பல்,everyday
Shock,அதிர்ச்சி,everyday
Show,காட்டு,everyday
Sign,கையெழுத்திடு,everyday
Size,அளவு,everyday
Sleep,தூங்கு,everyday
Smell,வாசனை,everyday
Smile,புன்னகை,everyday
Smoke,புகை,everyday
Solve,தீர்,everyday
Sound,ஒலி,everyday
Speed,வேகம்,everyday
Spell,உச்சரி,everyday
Spend,செலவழி,everyday
Split,பிள,everyday
Sport,விளையாட்டு,everyday
Spot,புள்ளி,everyday
Spray,தெளி,everyday
Spread,பரப்பு,everyday
Spring,துள்ளிக் குதி,everyday
Stable,நிலையான,everyday
Stage,மேடை,everyday
Stand,நில்,everyday
Start,தொடங்கு,everyday
Stay,தங்கு,everyday
Step,அடி,everyday
Stop,நிறுத்து,everyday
Store,கடை,everyday
Stretch,நீட்டு,everyday
Struggle,போராட்டம்,everyday
Study,படிப்பு,everyday
Submit,சமர்ப்பி,everyday
Succeed,வெற்றிபெறு,everyday
Supply,விநியோகி,everyday
Support,ஆதரவு,everyday
Surprise,ஆச்சரியம்,everyday
Survive,பிழைத்திரு,everyday
Swim,நீந்து,everyday
Take,எடுத்துக்கொள்,everyday
Talk,பேசு,everyday
Taste,சுவை,everyday
Tax,வரி,everyday
Teach,கற்பி,everyday
Tell,சொல்,everyday
Think,நினை,everyday
Throw,வீசு,everyday
Touch,தொடு,everyday
Trade,வர்த்தகம்,everyday
Traffic,போக்குவரத்து,everyday
Train,தொடர்வண்டி,everyday
Travel,பயணம்,everyday
Trouble,பிரச்சனை,everyday
Trust,நம்பிக்கை,everyday
Try,முயற்சி,everyday
Turn,திரும்பு,everyday
Type,வகை,everyday
Upset,வருத்தம்,everyday
Vacuum,வெற்றிடம்,everyday
Value,மதிப்பு,everyday
Visit,வருகை,everyday
Wait,காத்திரு,everyday
Walk,நட,everyday
Wall,சுவர்,everyday
Want,வேண்டு,everyday
War,போர்,everyday
Wash,கழுவு,everyday
Waste,கழிவு,everyday
Wear,அணி,everyday
Win,வெல்,everyday
Wish,விரும்பு,everyday
Wonder,வியப்பு,everyday
Worry,கவலை,everyday
Would,நிபந்தனை துணைவினை,everyday
Write,எழுது,everyday
